ZIP,LAT,LNG,zip_prefix,state_abb,city,state_full
01089,42.125451,-72.649734,010,MA,SPRINGFIELD,massachusetts
01092,42.191868,-72.235108,010,MA,SPRINGFIELD,massachusetts
01093,42.441943,-72.661817,010,MA,SPRINGFIELD,massachusetts
01094,42.359108,-72.1368,010,MA,SPRINGFIELD,massachusetts
01095,42.138499,-72.420715,010,MA,SPRINGFIELD,massachusetts
01096,42.39714,-72.763572,010,MA,SPRINGFIELD,massachusetts
01097,42.178038,-72.832612,010,MA,SPRINGFIELD,massachusetts
01098,42.394315,-72.943115,010,MA,SPRINGFIELD,massachusetts
01103,42.104106,-72.592027,011,MA,SPRINGFIELD,massachusetts
01104,42.134009,-72.565378,011,MA,SPRINGFIELD,massachusetts
01105,42.099958,-72.580765,011,MA,SPRINGFIELD,massachusetts
01106,42.047565,-72.57113,011,MA,SPRINGFIELD,massachusetts
01107,42.12106,-72.607068,011,MA,SPRINGFIELD,massachusetts
01108,42.080692,-72.560791,011,MA,SPRINGFIELD,massachusetts
01109,42.119674,-72.549726,011,MA,SPRINGFIELD,massachusetts
01118,42.094194,-72.525081,011,MA,SPRINGFIELD,massachusetts
01119,42.124978,-72.51121,011,MA,SPRINGFIELD,massachusetts
01128,42.092296,-72.489135,011,MA,SPRINGFIELD,massachusetts
01129,42.11869,-72.4882,011,MA,SPRINGFIELD,massachusetts
01151,42.15186,-72.509131,011,MA,SPRINGFIELD,massachusetts
01199,42.120563,-72.604468,011,MA,SPRINGFIELD,massachusetts
01201,42.448236,-73.273727,012,MA,PITTSFIELD,massachusetts
01220,42.623799,-73.116736,012,MA,PITTSFIELD,massachusetts
01222,42.058703,-73.322175,012,MA,PITTSFIELD,massachusetts
01223,42.312225,-73.110124,012,MA,PITTSFIELD,massachusetts
01224,42.513163,-73.195743,012,MA,PITTSFIELD,massachusetts
01225,42.563401,-73.153335,012,MA,PITTSFIELD,massachusetts
01226,42.481119,-73.135073,012,MA,PITTSFIELD,massachusetts
01229,42.276338,-73.335896,012,MA,PITTSFIELD,massachusetts
01230,42.173192,-73.324283,012,MA,PITTSFIELD,massachusetts
01235,42.425676,-73.063012,012,MA,PITTSFIELD,massachusetts
01236,42.266496,-73.378393,012,MA,PITTSFIELD,massachusetts
01237,42.547818,-73.268033,012,MA,PITTSFIELD,massachusetts
01238,42.297501,-73.230148,012,MA,PITTSFIELD,massachusetts
01240,42.367858,-73.269763,012,MA,PITTSFIELD,massachusetts
01242,42.333734,-73.249199,012,MA,PITTSFIELD,massachusetts
01243,42.350122,-73.024112,012,MA,PITTSFIELD,massachusetts
01244,42.118094,-73.257497,012,MA,PITTSFIELD,massachusetts
01245,42.186893,-73.223105,012,MA,PITTSFIELD,massachusetts
01247,42.698526,-73.0843,012,MA,PITTSFIELD,massachusetts
01253,42.206683,-73.113214,012,MA,PITTSFIELD,massachusetts
01254,42.382019,-73.365492,012,MA,PITTSFIELD,massachusetts
01255,42.107496,-73.118607,012,MA,PITTSFIELD,massachusetts
01256,42.594166,-73.02232,012,MA,PITTSFIELD,massachusetts
01257,42.085244,-73.367482999999993,012,MA,PITTSFIELD,massachusetts
01258,42.10928,-73.462886,012,MA,PITTSFIELD,massachusetts
01259,42.075469,-73.234376,012,MA,PITTSFIELD,massachusetts
01260,42.295696,-73.342543,012,MA,PITTSFIELD,massachusetts
01262,42.292202,-73.319209,012,MA,PITTSFIELD,massachusetts
01264,42.23159,-73.202428,012,MA,PITTSFIELD,massachusetts
01266,42.312354,-73.388044,012,MA,PITTSFIELD,massachusetts
01267,42.671617,-73.246981,012,MA,PITTSFIELD,massachusetts
01270,42.515272,-73.031166,012,MA,PITTSFIELD,massachusetts
01301,42.626761,-72.60153,013,MA,SPRINGFIELD,massachusetts
01330,42.513947,-72.821517,013,MA,SPRINGFIELD,massachusetts
01331,42.562408,-72.19108,013,MA,SPRINGFIELD,massachusetts
01337,42.689307,-72.582249,013,MA,SPRINGFIELD,massachusetts
01338,42.572604,-72.824306000000007,013,MA,SPRINGFIELD,massachusetts
01339,42.603776,-72.889644,013,MA,SPRINGFIELD,massachusetts
01340,42.694731,-72.710956,013,MA,SPRINGFIELD,massachusetts
01341,42.496937,-72.709414,013,MA,SPRINGFIELD,massachusetts
01342,42.543889,-72.609458,013,MA,SPRINGFIELD,massachusetts
01343,42.657625,-72.978933,013,MA,SPRINGFIELD,massachusetts
01344,42.613418,-72.426427,013,MA,SPRINGFIELD,massachusetts
01346,42.693275,-72.823113,013,MA,SPRINGFIELD,massachusetts
01347,42.559294,-72.518753,013,MA,SPRINGFIELD,massachusetts
01349,42.563061,-72.482122,013,MA,SPRINGFIELD,massachusetts
01350,42.727772,-72.985346,013,MA,SPRINGFIELD,massachusetts
01351,42.53988,-72.521689,013,MA,SPRINGFIELD,massachusetts
01354,42.624076,-72.508643,013,MA,SPRINGFIELD,massachusetts
01355,42.458551,-72.327191,013,MA,SPRINGFIELD,massachusetts
01360,42.677091,-72.453876,013,MA,SPRINGFIELD,massachusetts
01364,42.605437,-72.292074,013,MA,SPRINGFIELD,massachusetts
01366,42.475621,-72.192468,013,MA,SPRINGFIELD,massachusetts
01367,42.695532,-72.909148,013,MA,SPRINGFIELD,massachusetts
01368,42.679456,-72.176935,013,MA,SPRINGFIELD,massachusetts
01370,42.593338,-72.726941,013,MA,SPRINGFIELD,massachusetts
01373,42.475481,-72.615403,013,MA,SPRINGFIELD,massachusetts
01375,42.466691,-72.546751,013,MA,SPRINGFIELD,massachusetts
01376,42.59528,-72.555002,013,MA,SPRINGFIELD,massachusetts
01378,42.673533,-72.353213,013,MA,SPRINGFIELD,massachusetts
01379,42.55631,-72.407148,013,MA,SPRINGFIELD,massachusetts
01420,42.584925,-71.816862,014,MA,CENTRAL,massachusetts
01430,42.657005,-71.923442,014,MA,CENTRAL,massachusetts
01431,42.676293,-71.832523,014,MA,CENTRAL,massachusetts
01432,42.566573,-71.575135,014,MA,CENTRAL,massachusetts
01434,42.538903,-71.612027,014,MA,CENTRAL,massachusetts
01436,42.602059,-72.087015,014,MA,CENTRAL,massachusetts
01438,42.562243,-72.031402,014,MA,CENTRAL,massachusetts
01440,42.584206,-71.988737,014,MA,CENTRAL,massachusetts
01450,42.61176,-71.565269,014,MA,CENTRAL,massachusetts
01451,42.501908,-71.568201,014,MA,CENTRAL,massachusetts
01452,42.489598,-72.002878,014,MA,CENTRAL,massachusetts
01453,42.519977,-71.763202,014,MA,CENTRAL,massachusetts
01460,42.535931,-71.490569,014,MA,CENTRAL,massachusetts
01462,42.582607,-71.720464,014,MA,CENTRAL,massachusetts
01463,42.670643,-71.602858,014,MA,CENTRAL,massachusetts
01464,42.573654,-71.640986,014,MA,CENTRAL,massachusetts
01467,42.489646,-71.609577,014,MA,CENTRAL,massachusetts
01468,42.542767,-72.068345,014,MA,CENTRAL,massachusetts
01469,42.664828,-71.695087,014,MA,CENTRAL,massachusetts
01473,42.5546,-71.90544,014,MA,CENTRAL,massachusetts
01474,42.669685,-71.752751,014,MA,CENTRAL,massachusetts
01475,42.66816,-72.055644,014,MA,CENTRAL,massachusetts
01501,42.198708,-71.846006,015,MA,CENTRAL,massachusetts
01503,42.384929,-71.633889,015,MA,CENTRAL,massachusetts
01504,42.039991,-71.532406,015,MA,CENTRAL,massachusetts
01505,42.355049,-71.716157,015,MA,CENTRAL,massachusetts
01506,42.180788,-72.107891,015,MA,CENTRAL,massachusetts
01507,42.133935,-71.968025,015,MA,CENTRAL,massachusetts
01510,42.411887,-71.690005,015,MA,CENTRAL,massachusetts
01515,42.209682,-72.040178,015,MA,CENTRAL,massachusetts
01516,42.053072,-71.752241,015,MA,CENTRAL,massachusetts
01518,42.127477,-72.118818,015,MA,CENTRAL,massachusetts
01519,42.203404,-71.679739,015,MA,CENTRAL,massachusetts
01520,42.336372,-71.850626,015,MA,CENTRAL,massachusetts
01521,42.046799,-72.180144,015,MA,CENTRAL,massachusetts
01522,42.375634,-71.867382,015,MA,CENTRAL,massachusetts
01523,42.483569,-71.675585,015,MA,CENTRAL,massachusetts
01524,42.249603,-71.919217,015,MA,CENTRAL,massachusetts
01525,42.106794,-71.630518,015,MA,CENTRAL,massachusetts
01527,42.192246,-71.777649,015,MA,CENTRAL,massachusetts
01529,42.036642,-71.578779,015,MA,CENTRAL,massachusetts
01531,42.319125,-72.130814,015,MA,CENTRAL,massachusetts
01532,42.323342,-71.646236,015,MA,CENTRAL,massachusetts
01534,42.142074,-71.643348,015,MA,CENTRAL,massachusetts
01535,42.267564,-72.066876,015,MA,CENTRAL,massachusetts
01536,42.231309,-71.692642,015,MA,CENTRAL,massachusetts
01537,42.158966,-71.897051,015,MA,CENTRAL,massachusetts
01540,42.116262999999996,-71.857465,015,MA,CENTRAL,massachusetts
01541,42.454125,-71.87754,015,MA,CENTRAL,massachusetts
01542,42.204251,-71.908907,015,MA,CENTRAL,massachusetts
01543,42.388285,-71.969865,015,MA,CENTRAL,massachusetts
01545,42.284767,-71.714228,015,MA,CENTRAL,massachusetts
01550,42.059737,-72.033908,015,MA,CENTRAL,massachusetts
01560,42.175395,-71.674223,015,MA,CENTRAL,massachusetts
01561,42.44397,-71.685583,015,MA,CENTRAL,massachusetts
01562,42.247211,-71.991867,015,MA,CENTRAL,massachusetts
01564,42.447924,-71.776045,015,MA,CENTRAL,massachusetts
01566,42.103214,-72.079545,015,MA,CENTRAL,massachusetts
01568,42.176526,-71.603588,015,MA,CENTRAL,massachusetts
01569,42.05593,-71.631232,015,MA,CENTRAL,massachusetts
01570,42.047532,-71.846952,015,MA,CENTRAL,massachusetts
01571,42.053778,-71.935075,015,MA,CENTRAL,massachusetts
01581,42.268426,-71.613309,015,MA,CENTRAL,massachusetts
01583,42.369417,-71.785036,015,MA,CENTRAL,massachusetts
01585,42.240796,-72.162645,015,MA,CENTRAL,massachusetts
01588,42.118794,-71.672494,015,MA,CENTRAL,massachusetts
01590,42.132051,-71.750318,015,MA,CENTRAL,massachusetts
01602,42.269189,-71.850728,016,MA,WORCESTER,massachusetts
